0.4 -41.88385628964  -34.09521057512
0.5 -54.85099448655  -37.00658502823
0.6 -62.16449433893  -38.46698289165
0.7 -66.56532280025  -39.30271697367
0.8 -69.38910829901  -39.92812185463
0.9 -71.37602498347  -40.51666124332
1.0 -72.92421934310  -41.01674289644
1.1 -74.15464242955  -41.38199158128
1.2 -75.11705986784  -41.62158998701
1.3 -75.85869792274  -41.76020466085
1.4 -76.42398913782  -41.82338770319
1.5 -76.85142624618  -41.83322083585
1.6 -77.17253765909  -41.80715189153
1.7 -77.41221315260  -41.75810398264
1.8 -77.58964361407  -41.69515128964
1.9 -77.71943641337  -41.62439547855
2.0 -77.81266797237  -41.54982945208
2.1 -77.87776365333  -41.47405637646
2.2 -77.92117744603  -41.39880264524
2.3 -77.94789156686  -41.32523676512
2.4 -77.96177602128  -41.25415087760
2.5 -77.96584873575  -41.18606445872
2.6 -77.96246807479  -41.12129092618
2.7 -77.95347889207  -41.05998812008
2.8 -77.94032523972  -41.00219954512
2.9 -77.92413764581  -40.94788881313
3.0 -77.90580060778  -40.89696727837
3.1 -77.88600465023  -40.84931536821
3.2 -77.86528678184  -40.80480055338
3.3 -77.84406228670  -40.76329425479
3.4 -77.82265014089  -40.72469306596
3.5 -77.80129340965  -40.68895127983
3.6 -77.78017555145  -40.65613335734
3.7 -77.75943324473  -40.62647109181
3.8 -77.73916637736  -40.60031327352
3.9 -77.71944580098  -40.57786005724
4.0 -77.70031951822  -40.55896212547
4.1 -77.68181766070  -40.54321952468
4.2 -77.66395663428  -40.53015729306
4.3 -77.64674250914  -40.51932302111
4.4 -77.63017378020  -40.51032104289
4.5 -77.61424351423  -40.50281825502
4.6 -77.59894094704  -40.49653959247
4.7 -77.58425263601  -40.49126042735
4.8 -77.57016327618  -40.48679853770
4.9 -77.55665618711  -40.48300667123
5.0 -77.54371365429  -40.47976605554
5.1 -77.53131746311  -40.47698089205
5.2 -77.51944842363  -40.47457386921
5.3 -77.50808732391  -40.47248248986
5.4 -77.49721444112  -40.47065610797
5.5 -77.48681033011  -40.46905355238
5.6 -77.47685668218  -40.46764122826
5.7 -77.46737523801  -40.46639155672
5.8 -77.45821356946  -40.46528178060
5.9 -77.44949038585  -40.46429297694
6.0 -77.44113906684  -40.46340934958
