r000 -79.15761287251 -40.32226275165
r010 -79.15726125941 -40.32224077113
r020 -79.15629829731 -40.32218067728
r030 -79.15497739998 -40.32209855183
r040 -79.15365022031 -40.32201638498
r050 -79.15267471518 -40.32195620833
r060 -79.15231682880 -40.32193417650
r070 -79.15267471417 -40.32195620833
r080 -79.15365022113 -40.32201638462
r090 -79.15497740060 -40.32209855139
r100 -79.15629829873 -40.32218067700
r110 -79.15726124823 -40.32224077086
r120 -79.15761285900 -40.32226276140
r130 -79.15726124571 -40.32224077109
r140 -79.15629829729 -40.32218067727
r150 -79.15497739998 -40.32209855183
r160 -79.15365022031 -40.32201638498
r170 -79.15267471518 -40.32195620833
r180 -79.15231682880 -40.32193417650
r190 -79.15267471417 -40.32195620833
r200 -79.15365022113 -40.32201638462
r210 -79.15497740060 -40.32209855139
r220 -79.15629829873 -40.32218067700
r230 -79.15726124823 -40.32224077086
r240 -79.15761285900 -40.32226276140
r250 -79.15726124571 -40.32224077109
r260 -79.15629829729 -40.32218067727
r270 -79.15497739998 -40.32209855183
r280 -79.15365022031 -40.32201638498
r290 -79.15267471518 -40.32195620833
r300 -79.15231682880 -40.32193417650
r310 -79.15267471417 -40.32195620833
r320 -79.15365022113 -40.32201638462
r330 -79.15497740060 -40.32209855139
r340 -79.15629829873 -40.32218067700
r350 -79.15726124823 -40.32224077086
