d0_38   -39.67343342468  -36.28683659539 
d0_48   -53.86896710434  -38.24282698857
d0_58   -61.79883042404  -39.09226868521
d0_68   -66.53575351942  -39.43225112985
d0_78   -69.54716594063  -39.53928852561
d0_88   -71.64378656310  -39.55086200194
d0_98   -73.31603476994  -39.87888868205
d1_08   -74.65699980700  -40.26493438908
d1_18   -75.71147222585  -40.54739386971
d1_28   -76.53108754120  -40.73225466060
d1_38   -77.16364767565  -40.84027599923
d1_48   -77.65002560670  -40.89199939882
d1_58   -78.02346218020  -40.90411285516
d1_68   -78.31009140839  -40.88909267163
d1_78   -78.53000996265  -40.85598256369
d1_88   -78.69849024770  -40.81134907226
d1_98   -78.82710987910  -40.75997893984
d2_08   -78.92468859483  -40.70531330173
d2_18   -78.99800594218  -40.64975818910
d2_28   -79.05232327056  -40.59494235309
d2_38   -79.09175475852  -40.54192727923
d2_48   -79.11953284547  -40.49136713646
d2_58   -79.13820325678  -40.44362647388
d2_68   -79.14977313858  -40.39886688003
d2_78   -79.15582619029  -40.35711121144
d2_88   -79.15761287265  -40.31829085532
d2_98   -79.15612095467  -40.28227959194
d3_08   -79.15213062546  -40.24891724638
d3_18   -79.14625738862  -40.21802564082
d3_28   -79.13898600970  -40.18941941931
d3_38   -79.13069751055  -40.16291345192
d3_48   -79.12169084049  -40.13832802679
d3_58   -79.11220014552  -40.11549248465
d3_68   -79.10240830681  -40.09424760975
d3_78   -79.09245753578  -40.07444700487
d3_88   -79.08245761684  -40.05595761384
d3_98   -79.07249244940  -40.03865960808
d4_08   -79.06262543735  -40.02244585290
d4_18   -79.05290387941  -40.00722110853
d4_28   -79.04336269998  -39.99290107237
d4_38   -79.03402737496  -39.97941134518
d4_48   -79.02491631367  -39.96668636853
d4_58   -79.01604260905  -39.95466834763
d4_68   -79.00741532302  -39.94330621041
d4_78   -78.99904039304  -39.93255461159
d4_88   -78.99092123921  -39.92237300650
d4_98   -78.98305920800  -39.91272485426
d5_08   -78.97545383218  -39.90357685952
d5_18   -78.96810310506  -39.89489842050
d5_28   -78.96100364251  -39.88666113051
d5_38   -78.95415087580  -39.87883840591  
d5_48   -78.94753922213  -39.87140521757
d5_58   -78.94116225701  -39.86433789361
d5_68   -78.93501287780  -39.85761398051
d5_78   -78.92908345422  -39.85121216179
d5_88   -78.92336598317  -39.84511219790
d5_98   -78.91785221611  -39.83929489742
d6_08   -78.91253378412  -39.83374208993
