r000 -77.96584873951  -41.19445345539
r010 -77.96356218013  -41.19272486572
r020 -77.95671186141  -41.18758914193
r030 -77.94532649674  -41.17920541480
r040 -77.92945619806  -41.16787321006
r050 -77.90917622379  -41.15410120318
r060 -77.88459244889  -41.13875194694
r070 -77.85584874293  -41.12335089418
r080 -77.82313704291  -41.11071107010
r090 -77.78671157533  -41.10545178541
r100 -77.82313704291  -41.11071106536
r110 -77.85584874293  -41.12335089495
r120 -77.88459244889  -41.13875194754
r130 -77.90917622379  -41.15410121508
r140 -77.92945619806  -41.16787319749
r150 -77.94532649674  -41.17920541557
r160 -77.95671186141  -41.18758914107
r170 -77.96356218013  -41.19272486878
r180 -77.96584874003  -41.19445344982
r190 -77.96356218013  -41.19272486572
r200 -77.95671186141  -41.18758914193
r210 -77.94532649674  -41.17920541480
r220 -77.92945619806  -41.16787321006
r230 -77.90917622379  -41.15410120318
r240 -77.88459244889  -41.13875194694
r250 -77.85584874293  -41.12335089418
r260 -77.82313704291  -41.11071107010
r270 -77.78671157791  -41.10545178540
r280 -77.82313704291  -41.11071106536
r290 -77.85584874293  -41.12335089495
r300 -77.88459244889  -41.13875194754
r310 -77.90917622379  -41.15410121508
r320 -77.92945619806  -41.16787319749
r330 -77.94532649674  -41.17920541557
r340 -77.95671186141  -41.18758914108
r350 -77.96356218013  -41.19272486878
